dataset,score_bin,mean_delta,ci_low,ci_high,seed_count,node_episode_count
industry,Q1,-0.008238072532111982,-0.008776277338439444,-0.00769986772578452,10,22344
industry,Q2,-0.01278409291528596,-0.013747398503788113,-0.011820787326783808,10,22344
industry,Q3,-0.015088959940436778,-0.01618118864007103,-0.013996731240802526,10,22344
industry,Q4,-0.017620395317771126,-0.018857675331586388,-0.016383115303955864,10,22344
industry,Q5,-0.020099093835093278,-0.02141752197722165,-0.018780665692964906,10,22344
etf,Q1,-0.0074198556146374255,-0.00804774766043314,-0.006791963568841711,10,3080
etf,Q2,-0.020631485348827163,-0.022111386750777767,-0.01915158394687656,10,3080
etf,Q3,-0.030412349828503438,-0.03312894361448878,-0.027695756042518095,10,3080
etf,Q4,-0.04033424740660589,-0.04366914185988197,-0.03699935295332981,10,3080
etf,Q5,-0.050490711574690275,-0.054654299183908614,-0.046327123965471936,10,3080
